Code FAP 22;Intitulé FAP 22;Code FAP 86;Intitulé FAP 86;Code FAP 228;Intitulé FAP 228;Code FAP 341;Intitulé FAP 341
T;Services aux particuliers et aux collectivités;T4X;Agents d'entretien;T4X62;Ouvriers de l'assainissement et du traitement des déchets;T4X62a;Agents d'entretien des espaces urbains
T;Services aux particuliers et aux collectivités;T4X;Agents d'entretien;T4X62;Ouvriers de l'assainissement et du traitement des déchets;T4X62b;Agents d'entretien industriel
T;Services aux particuliers et aux collectivités;T6X;Employés des services divers;T6X61;Employés des services divers;T6X61c;Personnels des services funéraires
U;Communication, information, art et spectacle;U0X;Professionnels de la communication et de l'information;U0X80;Assistants de la communication;U0X80;Assistants de la communication
U;Communication, information, art et spectacle;U0X;Professionnels de la communication et de l'information;U0X81;Interprètes;U0X81;Interprètes
U;Communication, information, art et spectacle;U0X;Professionnels de la communication et de l'information;U0X92;Journalistes et cadres de l'édition;U0X92a;Professionnels de l'édition
U;Communication, information, art et spectacle;U0X;Professionnels de la communication et de l'information;U0X92;Journalistes et cadres de l'édition;U0X92b;Journalistes et responsable de l'information média
U;Communication, information, art et spectacle;U1X;Professionnels des arts et des spectacles;U1X80;Professionnels des spectacles;U1X80a;Producteurs de spectacles et promoteurs d'artistes
U;Communication, information, art et spectacle;U1X;Professionnels des arts et des spectacles;U1X80;Professionnels des spectacles;U1X80c;Techniciens de la préparation de spectacles
U;Communication, information, art et spectacle;U1X;Professionnels des arts et des spectacles;U1X82;Graphistes, dessinateurs, stylistes, décorateurs et créateurs de supports de communication visuelle;U1X82c;Concepteur et réalisateur multimédia
U;Communication, information, art et spectacle;U1X;Professionnels des arts et des spectacles;U1X82;Graphistes, dessinateurs, stylistes, décorateurs et créateurs de supports de communication visuelle;U1X82d;Concepteurs et réalisateurs de films d'animation
U;Communication, information, art et spectacle;U1X;Professionnels des arts et des spectacles;U1X91;Artistes (musique, danse, spectacles);U1X91a;Artistes interprètes et metteurs en scène
U;Communication, information, art et spectacle;U1X;Professionnels des arts et des spectacles;U1X92;Écrivains;U1X92;Écrivains
V;Santé, action sociale, culturelle et sportive;V0X;Aides-soignants;V0X60;Aides-soignants;V0X60b;Assistants médico-techniques
V;Santé, action sociale, culturelle et sportive;V2X;Médecins, dentistes, vétérinaires et pharmaciens;V2X90;Médecins;V2X90;Médecins
V;Santé, action sociale, culturelle et sportive;V2X;Médecins, dentistes, vétérinaires et pharmaciens;V2X91;Dentistes;V2X91;Dentistes
V;Santé, action sociale, culturelle et sportive;V3X;Professions para-médicales;V3X70;Techniciens médicaux et préparateurs;V3X70a;Techniciens de laboratoire médical
V;Santé, action sociale, culturelle et sportive;V3X;Professions para-médicales;V3X80;Autres professionnels para-médicaux;V3X80a;Diététique
V;Santé, action sociale, culturelle et sportive;V3X;Professions para-médicales;V3X80;Autres professionnels para-médicaux;V3X80b;Ergothérapeute
V;Santé, action sociale, culturelle et sportive;V3X;Professions para-médicales;V3X80;Autres professionnels para-médicaux;V3X80g;Pédicurie et podologie
V;Santé, action sociale, culturelle et sportive;V5X;Professionnels de l'action culturelle, sportive et surveillants;V5X81;Professionnels de l'animation socioculturelle;V5X81;Professionnels de l'animation socioculturelle
V;Santé, action sociale, culturelle et sportive;V5X;Professionnels de l'action culturelle, sportive et surveillants;V5X82;Sportifs et animateurs sportifs;V5X82;Sportifs et animateurs sportifs
V;Santé, action sociale, culturelle et sportive;V5X;Professionnels de l'action culturelle, sportive et surveillants;V5X84;Surveillants d'établissements scolaires et accompagnateurs des élèves en situation de handicap;V5X84a;Surveillants d'établissements scolaires
W;Enseignement, formation;W0X;Enseignants;W0X80;Professeurs des écoles;W0X80;Professeurs des écoles
W;Enseignement, formation;W0X;Enseignants;W0X90;Professeurs du secondaire;W0X90;Professeurs du secondaire
X;Politique, religion;X0X;Professionnels de la politique et clergé;X0X00;Professionnels de la politique;X0X00;Professionnels de la politique
X;Politique, religion;X0X;Professionnels de la politique et clergé;X0X01;Clergé;X0X01;Clergé
