Code FAP 22;Intitulé FAP 22;Code FAP 86;Intitulé FAP 86;Code FAP 228;Intitulé FAP 228;Code FAP 341;Intitulé FAP 341
R;Commerce;R1X;Vendeurs;R1X60;Vendeurs en produits alimentaires;R1X60a;Vendeurs en poissonnerie
R;Commerce;R1X;Vendeurs;R1X60;Vendeurs en produits alimentaires;R1X60c;Vendeurs en gros de produits frais
R;Commerce;R1X;Vendeurs;R1X62;Vendeurs en habillement et accessoires, articles de luxe, de sport, de loisirs et culturels;R1X62b;Vendeurs de végétaux et vendeurs en animalerie
R;Commerce;R1X;Vendeurs;R1X68;Employés des services commerciaux;R1X68;Employés des services commerciaux
R;Commerce;R2X;Attachés commerciaux et représentants;R2X80;Attachés commerciaux;R2X80a;Attachés commerciaux (hors médical)
R;Commerce;R4X;Cadres commerciaux et technico-commerciaux;R4X91;Technico-commerciaux;R4X91;Technico-commerciaux
R;Commerce;R4X;Cadres commerciaux et technico-commerciaux;R4X92;Cadres du management des magasins;R4X92;Cadres du management des magasins
R;Commerce;R4X;Cadres commerciaux et technico-commerciaux;R4X93;Cadres agents immobiliers et syndics;R4X93b;Cadres chargés de gérance, de location et de projets immobiliers
S;Hôtellerie, restauration, alimentation;S0X;Bouchers, charcutiers, boulangers;S0X40;Bouchers;S0X40;Bouchers
S;Hôtellerie, restauration, alimentation;S2X;Employés et agents de maîtrise de l'hôtellerie et de la restauration;S2X61;Serveurs de cafés restaurants;S2X61;Serveurs de cafés restaurants
S;Hôtellerie, restauration, alimentation;S2X;Employés et agents de maîtrise de l'hôtellerie et de la restauration;S2X80;Agents de maîtrise de la restauration;S2X80;Agents de maîtrise de la restauration
T;Services aux particuliers et aux collectivités;T0X;Coiffeurs, esthéticiens;T0X60;Coiffeurs, esthéticiens;T0X60b;Esthéticiens, manucure, hydrothérapie
T;Services aux particuliers et aux collectivités;T2B;Assistants maternels, auxiliaires de puériculture, assistants familiaux et gardes à domicile;T2B60;Assistants maternels, auxiliaires de puériculture, assistants familiaux et gardes à domicile;T2B60c;Aide en puériculture
T;Services aux particuliers et aux collectivités;T3X;Agents de gardiennage et de sécurité;T3X60;Concierges;T3X60;Concierges
T;Services aux particuliers et aux collectivités;T3X;Agents de gardiennage et de sécurité;T3X61;Agents de sécurité et de surveillance;T3X61;Agents de sécurité et de surveillance
T;Services aux particuliers et aux collectivités;T4X;Agents d'entretien;T4X60;Agents d'entretien de locaux;T4X60;Agents d'entretien de locaux
U;Communication, information, art et spectacle;U0X;Professionnels de la communication et de l'information;U0X91;Cadres et techniciens de la documentation;U0X91;Cadres et techniciens de la documentation
U;Communication, information, art et spectacle;U1X;Professionnels des arts et des spectacles;U1X80;Professionnels des spectacles;U1X80b;Techniciens de la réalisation cinématographique et audiovisuelle
U;Communication, information, art et spectacle;U1X;Professionnels des arts et des spectacles;U1X81;Photographes;U1X81;Photographes
U;Communication, information, art et spectacle;U1X;Professionnels des arts et des spectacles;U1X82;Graphistes, dessinateurs, stylistes, décorateurs et créateurs de supports de communication visuelle;U1X82a;Concepteur-décorateur d’espaces
U;Communication, information, art et spectacle;U1X;Professionnels des arts et des spectacles;U1X91;Artistes (musique, danse, spectacles);U1X91b;Enseignants artistiques
V;Santé, action sociale, culturelle et sportive;V0X;Aides-soignants;V0X60;Aides-soignants;V0X60c;Aides-soignants
V;Santé, action sociale, culturelle et sportive;V1X;Infirmiers, sages-femmes;V1X80;Infirmiers et sages-femmes;V1X80d;Sages-femmes
V;Santé, action sociale, culturelle et sportive;V2X;Médecins, dentistes, vétérinaires et pharmaciens;V2X93;Pharmaciens;V2X93a;Pharmaciens
V;Santé, action sociale, culturelle et sportive;V3X;Professions para-médicales;V3X70;Techniciens médicaux et préparateurs;V3X70b;Techniciens en imagerie médicale
V;Santé, action sociale, culturelle et sportive;V3X;Professions para-médicales;V3X70;Techniciens médicaux et préparateurs;V3X70c;Préparation en pharmacie
V;Santé, action sociale, culturelle et sportive;V3X;Professions para-médicales;V3X71;Spécialistes de l'appareillage médical;V3X71a;Prothèses, orthèses et audioprothèses
V;Santé, action sociale, culturelle et sportive;V3X;Professions para-médicales;V3X71;Spécialistes de l'appareillage médical;V3X71b;Optique – lunetterie
V;Santé, action sociale, culturelle et sportive;V3X;Professions para-médicales;V3X80;Autres professionnels para-médicaux;V3X80c;masseurs-kinésithérapeuthes
V;Santé, action sociale, culturelle et sportive;V3X;Professions para-médicales;V3X80;Autres professionnels para-médicaux;V3X80d;Orthophonistes et spécialistes de l'orthoptique
V;Santé, action sociale, culturelle et sportive;V3X;Professions para-médicales;V3X80;Autres professionnels para-médicaux;V3X80h;Psychomotricien
V;Santé, action sociale, culturelle et sportive;V4X;Professionnels de l'action sociale et de l'orientation;V4X83;Educateurs spécialisés et autres intervenants socio-éducatifs;V4X83a;Éducateurs de jeunes enfants
V;Santé, action sociale, culturelle et sportive;V4X;Professionnels de l'action sociale et de l'orientation;V4X83;Educateurs spécialisés et autres intervenants socio-éducatifs;V4X83b;Éducateurs techniques spécialisés, moniteurs d’ateliers
V;Santé, action sociale, culturelle et sportive;V4X;Professionnels de l'action sociale et de l'orientation;V4X85;Professionnels de l'action sociale;V4X85a;Agents de médiation conjugale et familiale et aide aux bénéficiaires d'une mesure de protection juridique
V;Santé, action sociale, culturelle et sportive;V5X;Professionnels de l'action culturelle, sportive et surveillants;V5X84;Surveillants d'établissements scolaires et accompagnateurs des élèves en situation de handicap;V5X84b;Accompagnateurs des élèves en situation de handicap
W;Enseignement, formation;W0X;Enseignants;W0X91;Directeurs d’établissements du secondaire ou du supérieur et inspecteurs;W0X91;Directeurs d’établissements du secondaire ou du supérieur et inspecteurs
W;Enseignement, formation;W0X;Enseignants;W0X92;Professeurs du supérieur;W0X92;Professeurs du supérieur
W;Enseignement, formation;W1X;Formateurs;W1X80;Formateurs;W1X80a;Formateurs en conduite
A;Agriculture, marine, pêche;A0X;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A0X41;Eleveurs;A0X41c;Eleveurs de lapins et volailles
A;Agriculture, marine, pêche;A0X;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A0X41;Eleveurs;A0X41d;Eleveurs d'ovins ou de caprins
A;Agriculture, marine, pêche;A0X;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A0X41;Eleveurs;A0X41e;Eleveurs de porcins
A;Agriculture, marine, pêche;A0X;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A0X42;Bûcherons, sylviculteurs et agents forestiers;A0X42b;Sylviculteurs, agents forestiers et agents de protection des espaces naturels
A;Agriculture, marine, pêche;A1X;Maraîchers, jardiniers, viticulteurs;A1X40;Maraîchers et horticulteurs;A1X40;Maraîchers et horticulteurs
A;Agriculture, marine, pêche;A2X;Techniciens et cadres de l'agriculture;A2X70;Techniciens et agents d'encadrement d'exploitations agricoles;A2X70c;Techniciens et agents de maîtrise en agriculture, élevage et environnement naturel
B;Bâtiment, travaux publics;B0X;Ouvriers des travaux publics, du béton et de l'extraction;B0X30;Ouvriers peu qualifiés de l'extraction et des travaux publics;B0X30;Ouvriers peu qualifiés de l'extraction et des travaux publics
B;Bâtiment, travaux publics;B0X;Ouvriers des travaux publics, du béton et de l'extraction;B0X32;Ouvriers de la construction en béton;B0X32b;Ouvriers qualifiés en construction en béton
B;Bâtiment, travaux publics;B1X;Ouvriers du gros œuvre du bâtiment;B1X31;Maçons qualifiés;B1X31;Maçons qualifiés
B;Bâtiment, travaux publics;B2X;Ouvriers du second œuvre du bâtiment;B2X30;Ouvriers en pose et décoration de revêtements;B2X30b;Ouvriers qualifiés en pose et décoration de revêtements
B;Bâtiment, travaux publics;B2X;Ouvriers du second œuvre du bâtiment;B2X33;Plombiers chauffagistes;B2X33b;Plombiers, chauffagistes qualifiés
B;Bâtiment, travaux publics;B2X;Ouvriers du second œuvre du bâtiment;B2X36;Ouvriers en peinture en bâtiment;B2X36a;Ouvriers peu qualifiés en peinture en bâtiment
B;Bâtiment, travaux publics;B2X;Ouvriers du second œuvre du bâtiment;B2X36;Ouvriers en peinture en bâtiment;B2X36b;Ouvriers qualifiés en peinture en bâtiment
B;Bâtiment, travaux publics;B2X;Ouvriers du second œuvre du bâtiment;B2X37;Ouvriers peu qualifiés en menuiserie et en agencement du BTP;B2X37;Ouvriers peu qualifiés en menuiserie et en agencement du BTP
B;Bâtiment, travaux publics;B6X;Techniciens, agents de maîtrise et assimilés du bâtiment et des travaux publics;B6X70;Géomètres;B6X70;Géomètres
B;Bâtiment, travaux publics;B6X;Techniciens, agents de maîtrise et assimilés du bâtiment et des travaux publics;B6X71;Techniciens experts et chargés d’études du BTP;B6X71a;Techniciens et agents de maîtrise des études BTP, des études géologiques et du contrôle et diagnostic technique du BTP
B;Bâtiment, travaux publics;B6X;Techniciens, agents de maîtrise et assimilés du bâtiment et des travaux publics;B6X71;Techniciens experts et chargés d’études du BTP;B6X71d;Techniciens et agents de maîtrise du métré de la construction
B;Bâtiment, travaux publics;B6X;Techniciens, agents de maîtrise et assimilés du bâtiment et des travaux publics;B6X72;Dessinateurs en bâtiment et en travaux publics;B6X72;Dessinateurs en bâtiment et en travaux publics
